system:index,B11_t27,B12_t27,B2_t27,B3_t27,B4_t27,B5_t27,B6_t27,B7_t27,B8A_t27,B8_t27,class,class_name,zone,.geo
3642_0,3138.0,2460.0,759.0,854.5,1060.0,1381.5,1502.0,1657.0,1887.0,1586.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27125374352866,35.55019854833118]}"
3643_0,1882.0,1267.0,626.0,714.0,790.0,957.0,1086.0,1151.0,1297.0,1136.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.42019441763567,35.46575691162394]}"
3644_0,1840.5,1236.5,582.5,695.0,860.0,1045.5,1198.5,1307.0,1512.0,1397.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2513111442212,35.81035065461219]}"
3645_0,2698.0,1998.0,634.0,758.0,944.0,1154.0,1264.0,1385.0,1593.0,1446.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64477323866555,35.46503825939665]}"
3646_0,2582.0,1499.0,539.0,758.0,630.0,1246.0,2213.0,2506.0,2834.0,2534.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.38048888207759,35.64667760984562]}"
3647_0,2799.0,2148.5,588.5,704.0,913.0,1142.5,1312.0,1428.5,1647.0,1459.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.20226312970827,35.638772435345366]}"
3648_0,3081.0,2290.0,673.0,776.0,940.0,1159.0,1284.0,1417.0,1630.0,1460.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3941432743962,35.53348988404655]}"
3649_0,1783.0,1206.0,737.0,772.0,900.0,1040.0,1127.0,1238.0,1377.0,1272.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.54182630710545,35.51534391530734]}"
3652_0,2964.0,2227.0,604.0,730.0,890.0,1107.0,1239.0,1361.0,1629.0,1402.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3159898446778,35.51839818727335]}"
3654_0,2544.5,2006.5,774.0,912.0,1019.0,1221.0,1322.0,1429.5,1567.0,1512.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60363039865288,35.794180979498044]}"
3655_0,3144.0,2339.0,769.0,1030.0,1262.0,1477.5,1665.5,1790.0,2064.0,1860.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7879646949542,35.527381340114545]}"
3656_0,2365.0,1193.0,500.0,858.5,502.0,1421.0,3571.0,4101.5,4470.5,4006.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65860729404099,35.777292652156596]}"
3657_0,1885.5,1232.0,437.5,631.5,632.0,1085.5,1376.5,1547.0,1763.5,1560.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74233027852092,35.69626461352901]}"
3658_0,3771.0,2764.0,1018.0,1206.0,1438.0,1823.0,2053.0,2274.0,2502.0,2258.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47391367162602,35.64236569648184]}"
3659_0,2259.0,1713.0,1030.0,1152.0,1194.0,1419.0,1556.0,1642.0,1734.0,1730.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.49205964036523,35.544808656626465]}"
3660_0,2384.0,1718.5,477.5,652.0,780.5,1172.0,1519.5,1691.5,1953.0,1755.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.73729971292987,35.70165450523373]}"
3661_0,2467.0,1422.0,629.0,828.0,753.0,1290.0,2071.0,2331.0,2700.0,2328.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.38246517570265,35.646138620675146]}"
3662_0,2503.0,2019.0,619.0,726.0,832.0,1003.0,1072.0,1165.0,1329.0,1184.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31473220328004,35.6247587169131]}"
3663_0,2330.0,1662.0,618.0,737.0,832.0,1064.0,1302.0,1467.0,1616.0,1482.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62734592215364,35.56906316929769]}"
3664_0,1423.0,673.5,451.5,834.0,621.5,1310.0,2183.0,2524.0,2738.0,2621.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.79586986945445,35.68674247151735]}"
3665_0,2648.0,1940.0,756.0,866.0,1056.0,1234.0,1347.0,1418.0,1628.0,1460.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4451675825342,35.517859198102876]}"
3666_0,1914.0,1257.0,502.0,598.0,720.0,851.0,905.0,1051.0,1233.0,1114.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60596601839158,35.478692651715264]}"
