pixel_id,class_name,zone,time_step,DOY,year,temperature_2m_C,dewpoint_temperature_2m_C,total_precipitation,temp_norm,prec_norm,dew_norm,.geo
AR_Z2_00059,Corn,2,15,150,2021,22.93336582183838,17.38566290537517,0.0015092951489497667,0.7688919525167733,0.020840272311723473,0.8007304679090134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.05015575429704]}"
AR_Z2_00060,Corn,2,15,150,2021,22.861946551005076,17.36618862152102,0.0017978206598395553,0.769355052991983,0.027227005807693758,0.8117755344904872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.15015621172522]}"
AR_Z2_00061,Corn,2,15,150,2021,22.779492123921727,17.369704246520996,0.001985553932550991,0.7613901935852245,0.029172642773738496,0.8075291317729046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.250156669153405]}"
AR_Z2_00063,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00066,Corn,2,15,150,2021,22.90249017079674,17.09448451995854,0.00216381587974821,0.7719393559343777,0.03286762072468512,0.8055347738656825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.35015712658159]}"
AR_Z2_00068,Corn,2,15,150,2021,22.789298439025913,17.42883510589604,0.0018052365331485316,0.7637786816655314,0.027335262267184142,0.8112110012421154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.15015621172522]}"
AR_Z2_00070,Corn,2,15,150,2021,22.771793556213424,17.425693829854367,0.001619391936052287,0.7662535784389465,0.025452372652457565,0.8089301958655106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.05015575429704]}"
AR_Z2_00074,Corn,2,15,150,2021,22.84660638173426,17.39201869964603,0.0015654869543894575,0.7687936499729981,0.02311275266287896,0.8058171457190155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.05015575429704]}"
AR_Z2_00080,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00081,Corn,2,15,150,2021,22.861946551005076,17.36618862152102,0.0017978206598395553,0.769355052991983,0.027227005807693758,0.8117755344904872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.15015621172522]}"
AR_Z2_00083,Corn,2,15,150,2021,22.789298439025913,17.42883510589604,0.0018052365331485316,0.7637786816655314,0.027335262267184142,0.8112110012421154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.15015621172522]}"
AR_Z2_00084,Corn,2,15,150,2021,22.90249017079674,17.09448451995854,0.00216381587974821,0.7719393559343777,0.03286762072468512,0.8055347738656825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.35015712658159]}"
AR_Z2_00086,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00088,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00090,Corn,2,15,150,2021,22.779492123921727,17.369704246520996,0.001985553932550991,0.7613901935852245,0.029172642773738496,0.8075291317729046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.250156669153405]}"
AR_Z2_00091,Corn,2,15,150,2021,22.93336582183838,17.38566290537517,0.0015092951489497667,0.7688919525167733,0.020840272311723473,0.8007304679090134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.05015575429704]}"
AR_Z2_00093,Corn,2,15,150,2021,22.779492123921727,17.369704246520996,0.001985553932550991,0.7613901935852245,0.029172642773738496,0.8075291317729046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.250156669153405]}"
AR_Z2_00094,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00095,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00097,Corn,2,15,150,2021,22.93336582183838,17.38566290537517,0.0015092951489497667,0.7688919525167733,0.020840272311723473,0.8007304679090134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.05015575429704]}"
AR_Z2_00101,Corn,2,15,150,2021,22.80974114735926,17.44895229339602,0.0016717618730425284,0.7537557140459339,0.026149938453284456,0.8040991330925089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.05015575429704]}"
AR_Z2_00104,Corn,2,15,150,2021,23.019905535380076,17.19882208506266,0.0019362899951522,0.7652055952558289,0.026979357334504777,0.8012991494697653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.250156669153405]}"
AR_Z2_00105,Corn,2,15,150,2021,22.72438958485924,17.254966290791856,0.0021895182407656753,0.7656773109410971,0.03147283827312261,0.8040648849507278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.35015712658159]}"
AR_Z2_00106,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00107,Corn,2,15,150,2021,22.80974114735926,17.44895229339602,0.0016717618730425284,0.7537557140459339,0.026149938453284456,0.8040991330925089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.05015575429704]}"
AR_Z2_00112,Corn,2,15,150,2021,22.774495379130087,17.441001447041856,0.0014830214215327746,0.7626287782870039,0.023590687328631735,0.801573234748171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,33.95015529686885]}"
AR_Z2_00113,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00115,Corn,2,15,150,2021,22.861946551005076,17.36618862152102,0.0017978206598395553,0.769355052991983,0.027227005807693758,0.8117755344904872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.15015621172522]}"
