pixel_id,class_name,zone,lon,lat,soil_ph,soil_clay,soil_organic,.geo
00000000000000000048,Corn,1,-90.74304978840473,35.77244258150523,5.3,15,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.78424480943649]}"
00000000000000000049,Corn,1,-90.71825718654758,35.60481605470409,5.8,16,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.60458175261258]}"
0000000000000000004a,Corn,1,-90.65663240998896,35.66230724458616,5.7,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.649497516818556]}"
0000000000000000004b,Corn,1,-90.4918820033673,35.573553297218375,6.2,24,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.55966598840661]}"
0000000000000000004c,Corn,1,-90.7509557745725,35.55037934904361,5.6,14,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.55966598840661]}"
0000000000000000004d,Corn,1,-90.26927921967822,35.47725455086815,6.2,33,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2807609985628,35.46983445999465]}"
0000000000000000004e,Corn,1,-90.63111743376113,35.491809056706614,6.0,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.46983445999465]}"
0000000000000000004f,Corn,1,-90.48828796791821,35.785378433661265,6.1,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.78424480943649]}"
00000000000000000050,Corn,1,-90.48541184773875,35.69177298434733,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.69441328102453]}"
00000000000000000051,Corn,1,-90.54775453956697,35.77531424258364,6.1,16,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.78424480943649]}"
00000000000000000052,Corn,1,-90.30179498455995,35.64685645943598,6.1,31,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2807609985628,35.649497516818556]}"
00000000000000000053,Corn,1,-90.7479012903509,35.45389777955022,5.3,14,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.46983445999465]}"
00000000000000000054,Corn,1,-90.50463503238015,35.586671972517614,6.2,14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.60458175261258]}"
00000000000000000055,Corn,1,-90.50337756588307,35.590983923236294,6.2,14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.60458175261258]}"
00000000000000000056,Corn,1,-90.48577303492407,35.59744961976379,6.2,14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.60458175261258]}"
00000000000000000057,Corn,1,-90.60974050331092,35.70327300596417,6.1,19,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.69441328102453]}"
00000000000000000058,Corn,1,-90.34096372821341,35.71998125761142,6.1,13,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.739329045230505]}"
00000000000000000059,Corn,1,-90.65698913807323,35.66715874653231,5.7,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.649497516818556]}"
0000000000000000005a,Corn,1,-90.34617195824384,35.82059195468033,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.82916057364246]}"
0000000000000000005b,Corn,1,-90.48846633196035,35.778190362763105,6.1,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.78424480943649]}"
0000000000000000005c,Corn,1,-90.479842430523,35.818255385728314,6.0,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.82916057364246]}"
0000000000000000005d,Corn,1,-90.48469393246914,35.5900831848235,6.2,14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.60458175261258]}"
0000000000000000005e,Corn,1,-90.36629588129804,35.463422419400366,6.1,22,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.37059252697475,35.46983445999465]}"
0000000000000000005f,Corn,1,-90.2302888400669,35.78969038437996,6.2,16,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.78424480943649]}"
00000000000000000060,Corn,1,-90.27862103638519,35.741358188061646,6.3,19,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2807609985628,35.739329045230505]}"
00000000000000000061,Corn,1,-90.68645487783441,35.7003968857847,5.6,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.68500287641658,35.69441328102453]}"
00000000000000000062,Corn,1,-90.24681872767201,35.628890741291634,6.1,23,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.649497516818556]}"
00000000000000000063,Corn,1,-90.61692411510802,35.778908278032716,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.78424480943649]}"
00000000000000000064,Corn,1,-90.59841884573622,35.718540967971165,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.739329045230505]}"
00000000000000000065,Corn,1,-90.3244338406083,35.72429320833011,6.1,13,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.739329045230505]}"
00000000000000000066,Corn,1,-90.24753664294161,35.72644695413893,6.2,30,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.739329045230505]}"
00000000000000000067,Corn,1,-90.6287853239102,35.709917066533805,5.9,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.69441328102453]}"
00000000000000000068,Corn,1,-90.59195314920872,35.84646365899241,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.82916057364246]}"
00000000000000000069,Corn,1,-90.6366868509769,35.47869484050842,6.0,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.46983445999465]}"
0000000000000000006a,Corn,1,-90.62914205199446,35.63374224323778,5.7,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.649497516818556]}"
0000000000000000006b,Corn,1,-90.75131250265677,35.53061661317474,5.5,15,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.514750224200625]}"
0000000000000000006c,Corn,1,-90.3201218898896,35.8491569560287,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.82916057364246]}"
0000000000000000006d,Corn,1,-90.42774229381453,35.76130374707371,6.0,30,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.41550829118073,35.739329045230505]}"
0000000000000000006e,Corn,1,-90.61243380034722,35.73291710976748,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.739329045230505]}"
0000000000000000006f,Corn,1,-90.62536965250325,35.63409897132206,5.7,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.649497516818556]}"
00000000000000000070,Corn,1,-90.6012949659157,35.56834506718794,6.3,20,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.55966598840661]}"
00000000000000000071,Corn,1,-90.27520536497825,35.7679522667444,6.2,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2807609985628,35.78424480943649]}"
00000000000000000072,Corn,1,-90.21753581105403,35.702193903509226,6.0,23,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.69441328102453]}"
00000000000000000073,Corn,1,-90.2935322703079,35.78016574452979,6.2,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2807609985628,35.78424480943649]}"
00000000000000000074,Corn,1,-90.5811710428615,35.6576385657832,6.2,20,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.649497516818556]}"
00000000000000000075,Corn,1,-90.73765873523112,35.48264560404177,5.3,14,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.46983445999465]}"
00000000000000000076,Corn,1,-90.21573879332949,35.541037532336645,6.1,41,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.55966598840661]}"
00000000000000000077,Corn,1,-90.50391711711056,35.73992235752244,6.2,14,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.739329045230505]}"
00000000000000000078,Corn,1,-90.48307527878674,35.742437290516584,6.2,14,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.739329045230505]}"
00000000000000000079,Corn,1,-90.21699625982657,35.719263342341826,6.2,30,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.739329045230505]}"
0000000000000000007a,Corn,1,-90.25077395030644,35.777833634678835,6.2,16,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.78424480943649]}"
0000000000000000007c,Corn,1,-90.4999663535772,35.66680201844803,6.1,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.649497516818556]}"
0000000000000000007d,Corn,1,-90.61530992052667,35.62098475512387,6.2,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.60458175261258]}"
0000000000000000007e,Corn,1,-90.63596893570728,35.62763327479457,5.7,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.649497516818556]}"
0000000000000000007f,Corn,1,-90.6278845854974,35.769566461325745,5.9,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.78424480943649]}"
00000000000000000081,Corn,1,-90.75221324106957,35.771903030277755,5.3,15,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.78424480943649]}"
00000000000000000082,Corn,1,-90.55278440555526,35.76615524901986,6.1,16,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.78424480943649]}"
00000000000000000083,Corn,1,-90.35120182423213,35.675604283927534,6.2,24,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.37059252697475,35.69441328102453]}"
00000000000000000084,Corn,1,-90.75185205388424,35.46988811592787,5.3,14,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.46983445999465]}"
